A:group1,B:group2,C:test,D:corr,E:counts,F:mean,G:std,H:corr_w_1
white_econ_dis,white,math,-0.054,118,3.144,8.943,0.224
white_econ_dis,white_econ_dis,math,nan,118,0.000,0.000,0.224
white_econ_dis,white_econ_ok,math,0.141,102,10.470,10.579,0.309
white_econ_ok,afam,math,-0.540,98,-20.327,18.096,0.452
white_econ_ok,afam_econ_dis,math,-0.587,63,-27.786,19.091,0.480
white_econ_ok,afam_econ_ok,math,-0.477,68,-14.770,17.178,0.406
white_econ_ok,all,math,-0.404,139,-14.077,14.214,0.314
white_econ_ok,asian,math,-0.440,106,8.233,15.429,0.212
white_econ_ok,asian_econ_dis,math,-0.365,68,1.432,18.914,0.284
white_econ_ok,asian_econ_ok,math,-0.521,85,14.284,12.197,0.330
white_econ_ok,econ_dis,math,-0.226,132,-20.963,14.411,0.295
white_econ_ok,econ_ok,math,-0.419,139,-8.145,11.835,0.314
white_econ_ok,female,math,-0.348,137,-13.337,14.457,0.290
white_econ_ok,hispanic,math,-0.484,132,-22.201,14.830,0.322
white_econ_ok,hispanic_econ_dis,math,-0.401,118,-26.739,13.689,0.374
white_econ_ok,hispanic_econ_ok,math,-0.503,124,-15.722,15.209,0.336
white_econ_ok,male,math,-0.372,136,-14.723,14.631,0.291
white_econ_ok,white,math,-0.230,139,-5.364,7.008,0.314
white_econ_ok,white_econ_dis,math,-0.141,102,-10.470,10.579,0.406
white_econ_ok,white_econ_ok,math,nan,139,0.000,0.000,0.314
afam,afam,ela,nan,176,0.000,0.000,-0.380
afam,afam_econ_dis,ela,0.129,133,-2.225,5.380,-0.368
afam,afam_econ_ok,ela,-0.131,93,3.256,5.941,-0.287
afam,all,ela,0.024,176,6.590,9.652,-0.380
afam,asian,ela,0.139,103,23.811,12.048,-0.363
afam,asian_econ_dis,ela,0.207,72,19.202,15.995,-0.427
afam,asian_econ_ok,ela,0.282,76,30.111,14.058,-0.315
afam,econ_dis,ela,0.381,176,1.681,10.121,-0.380
afam,econ_ok,ela,0.002,154,12.886,11.597,-0.356
afam,female,ela,-0.020,172,8.674,10.389,-0.377
afam,hispanic,ela,0.225,174,1.640,8.850,-0.372
afam,hispanic_econ_dis,ela,0.411,169,-1.006,10.029,-0.368
afam,hispanic_econ_ok,ela,0.028,143,6.228,10.271,-0.351
afam,male,ela,0.100,174,4.689,9.445,-0.372
afam,white,ela,0.347,110,18.449,13.938,-0.191
afam,white_econ_dis,ela,0.417,88,7.378,14.343,-0.132
afam,white_econ_ok,ela,0.465,98,23.540,14.607,-0.126
afam_econ_dis,afam,ela,-0.129,133,2.225,5.380,-0.332
afam_econ_dis,afam_econ_dis,ela,nan,133,0.000,0.000,-0.332
afam_econ_dis,afam_econ_ok,ela,-0.197,69,6.499,10.114,-0.191
afam_econ_dis,all,ela,0.042,133,7.879,10.870,-0.332
afam_econ_dis,asian,ela,0.123,66,28.864,13.337,-0.393
afam_econ_dis,asian_econ_dis,ela,0.158,55,24.999,16.777,-0.447
afam_econ_dis,asian_econ_ok,ela,0.272,44,38.726,14.724,-0.408
afam_econ_dis,econ_dis,ela,0.203,133,4.939,10.024,-0.332
afam_econ_dis,econ_ok,ela,-0.022,113,15.192,13.898,-0.347
afam_econ_dis,female,ela,0.011,130,9.942,11.597,-0.338
afam_econ_dis,hispanic,ela,0.123,132,4.373,9.694,-0.329
afam_econ_dis,hispanic_econ_dis,ela,0.213,132,3.117,9.858,-0.329
afam_econ_dis,hispanic_econ_ok,ela,-0.023,105,9.250,11.619,-0.323
afam_econ_dis,male,ela,0.114,131,6.235,10.561,-0.325
afam_econ_dis,white,ela,0.345,74,24.157,16.343,-0.252
afam_econ_dis,white_econ_dis,ela,0.355,60,14.240,15.277,-0.178
afam_econ_dis,white_econ_ok,ela,0.435,63,31.111,16.933,-0.205
afam_econ_ok,afam,ela,0.131,93,-3.256,5.941,-0.303
afam_econ_ok,afam_econ_dis,ela,0.197,69,-6.499,10.114,-0.264
afam_econ_ok,afam_econ_ok,ela,nan,93,0.000,0.000,-0.303
afam_econ_ok,all,ela,0.064,93,5.082,10.427,-0.303
afam_econ_ok,asian,ela,0.061,67,19.844,12.399,-0.326
afam_econ_ok,asian_econ_dis,ela,0.067,44,14.777,17.230,-0.315
afam_econ_ok,asian_econ_ok,ela,0.185,58,24.339,13.501,-0.303
afam_econ_ok,econ_dis,ela,0.377,93,-2.378,12.575,-0.303
afam_econ_ok,econ_ok,ela,0.053,93,10.164,10.668,-0.303
afam_econ_ok,female,ela,0.011,93,7.657,10.641,-0.303
afam_econ_ok,hispanic,ela,0.237,93,-1.529,10.738,-0.303
afam_econ_ok,hispanic_econ_dis,ela,0.395,89,-5.076,12.988,-0.294
afam_econ_ok,hispanic_econ_ok,ela,0.074,90,2.091,11.117,-0.344
afam_econ_ok,male,ela,0.106,93,2.580,10.484,-0.303
afam_econ_ok,white,ela,0.395,72,16.864,12.350,-0.267
afam_econ_ok,white_econ_dis,ela,0.500,57,4.025,12.669,-0.236
afam_econ_ok,white_econ_ok,ela,0.468,68,20.506,13.113,-0.210
all,afam,ela,-0.024,176,-6.590,9.652,-0.342
all,afam_econ_dis,ela,-0.042,133,-7.879,10.870,-0.296
all,afam_econ_ok,ela,-0.064,93,-5.082,10.427,-0.268
all,all,ela,nan,422,0.000,0.000,-0.201
all,asian,ela,0.064,146,14.747,10.243,-0.447
all,asian_econ_dis,ela,0.079,105,12.136,13.659,-0.413
all,asian_econ_ok,ela,0.150,97,18.689,11.326,-0.325
all,econ_dis,ela,0.426,400,-3.196,5.750,-0.227
all,econ_ok,ela,-0.075,275,5.659,6.675,-0.219
all,female,ela,-0.097,371,1.683,3.910,-0.286
all,hispanic,ela,0.270,393,-3.542,5.679,-0.248
all,hispanic_econ_dis,ela,0.382,372,-4.791,7.768,-0.226
all,hispanic_econ_ok,ela,-0.005,227,0.283,8.240,-0.242
all,male,ela,0.131,394,-1.648,3.482,-0.227
all,white,ela,0.261,178,8.293,10.185,0.033
all,white_econ_dis,ela,0.337,118,0.070,12.665,-0.099
all,white_econ_ok,ela,0.390,139,12.491,11.899,-0.007
asian,afam,ela,-0.139,103,-23.811,12.048,-0.277
asian,afam_econ_dis,ela,-0.123,66,-28.864,13.337,-0.295
asian,afam_econ_ok,ela,-0.061,67,-19.844,12.399,-0.305
asian,all,ela,-0.064,146,-14.747,10.243,-0.418
asian,asian,ela,nan,146,0.000,0.000,-0.418
asian,asian_econ_dis,ela,0.162,105,-3.746,6.890,-0.403
asian,asian_econ_ok,ela,0.293,97,4.989,6.604,-0.395
asian,econ_dis,ela,0.316,144,-21.533,11.501,-0.406
asian,econ_ok,ela,-0.027,137,-7.948,9.467,-0.375
asian,female,ela,-0.090,146,-12.257,10.138,-0.418
asian,hispanic,ela,0.037,146,-22.468,10.796,-0.418
asian,hispanic_econ_dis,ela,0.305,136,-26.489,11.958,-0.401
asian,hispanic_econ_ok,ela,-0.072,131,-17.430,10.037,-0.335
asian,male,ela,-0.034,146,-17.207,10.651,-0.418
asian,white,ela,0.239,117,-5.365,12.291,-0.252
asian,white_econ_dis,ela,0.459,89,-16.864,13.585,-0.258
asian,white_econ_ok,ela,0.316,106,-0.788,12.582,-0.198
asian_econ_dis,afam,ela,-0.207,72,-19.202,15.995,-0.250
asian_econ_dis,afam_econ_dis,ela,-0.158,55,-24.999,16.777,-0.287
asian_econ_dis,afam_econ_ok,ela,-0.067,44,-14.777,17.230,-0.261
asian_econ_dis,all,ela,-0.079,105,-12.136,13.659,-0.342
asian_econ_dis,asian,ela,-0.162,105,3.746,6.890,-0.342
asian_econ_dis,asian_econ_dis,ela,nan,105,0.000,0.000,-0.342
asian_econ_dis,asian_econ_ok,ela,0.132,68,11.726,10.648,-0.408
asian_econ_dis,econ_dis,ela,0.105,105,-16.759,12.522,-0.342
asian_econ_dis,econ_ok,ela,-0.101,96,-4.136,14.186,-0.299
asian_econ_dis,female,ela,-0.090,105,-9.656,13.619,-0.342
asian_econ_dis,hispanic,ela,-0.040,105,-19.803,12.967,-0.342
asian_econ_dis,hispanic_econ_dis,ela,0.087,103,-22.479,12.813,-0.344
asian_econ_dis,hispanic_econ_ok,ela,-0.177,91,-14.295,13.824,-0.230
asian_econ_dis,male,ela,-0.066,105,-14.528,13.910,-0.342
asian_econ_dis,white,ela,0.233,77,-0.323,15.439,-0.155
asian_econ_dis,white_econ_dis,ela,0.362,60,-10.893,14.893,-0.151
asian_econ_dis,white_econ_ok,ela,0.266,68,6.343,15.978,-0.159
asian_econ_ok,afam,ela,-0.282,76,-30.111,14.058,-0.128
asian_econ_ok,afam_econ_dis,ela,-0.272,44,-38.726,14.724,-0.277
asian_econ_ok,afam_econ_ok,ela,-0.185,58,-24.339,13.501,-0.222
asian_econ_ok,all,ela,-0.150,97,-18.689,11.326,-0.256
asian_econ_ok,asian,ela,-0.293,97,-4.989,6.604,-0.256
asian_econ_ok,asian_econ_dis,ela,-0.132,68,-11.726,10.648,-0.347
asian_econ_ok,asian_econ_ok,ela,nan,97,0.000,0.000,-0.256
asian_econ_ok,econ_dis,ela,0.211,95,-28.321,11.701,-0.243
asian_econ_ok,econ_ok,ela,-0.044,97,-11.231,8.492,-0.256
